District Number,Full Name,Capitol Office Address,Capitol Office Phone Number,District Office Address,District Office Phone Number,Contact Page URL,biography,Member Page URL,Biography URL,Picture URL,Legislation Authored (including Joint) URL,Legislation Co-Authored URL,Legislation Sponsored (including Joint) URL,Legislation Co-Sponsored URL
94,Tony Tinderholt,,,,,,"State Representative Tony Tinderholt is a father, retired combat veteran, and conservative Republican from House District 94. He is serving his fifth term in the Texas Legislature, representing the people of Arlington, Dalworthington Gardens, Pantego, Fort Worth, Hurst, Euless, and Bedford in Tarrant County. Tinderholt serves on the Committee on Public Health as well as the Committee on County Affairs.Tinderholt has been named as the most fiscally conservative House legislator by Texans for Fiscal Responsibility, a “Faith & Family Champion” by Texas Values, a “Courageous Conservative” by Texas Conservative Coalition, and tied for the top score on Texas Family Project’s legislator scorecard. Many education, business, pro-life, transportation, public safety, and gun rights groups have also recognized his leadership.He is the proud father to his four children (Kayley, Nathan, Tyler, & Brenan) and grandfather of two (Jaxon & Vanellope). He is happily married to his wife, Bethany, a loving mother, Executive Director of the Arlington Police Foundation, and former Dallas Cowboys Cheerleader.Before his state service, Tinderholt had a decorated military career. He entered active duty Air Force in 1988 as a Spanish Cryptologic Linguist, taking part in counter drug missions throughout South and Central America. Following 9/11, he re-entered military service, this time in the Army. Tinderholt worked as a platoon leader, executive officer, detachment commander, and recruiting commander, and volunteered to deploy to multiple combat zones. At one point, he oversaw an $836 million budget and managed a team of over 400. In his 21 years in the armed forces, Major (Ret.) Tinderholt served tours across several continents, earning awards to include the Bronze Star Medal and Combat Action Badge.In civilian life, Tinderholt previously served as a Spanish professor and holds a Master’s Degree in Educational Leadership. He currently employs dozens of Texans as a business owner in the Metroplex.The Tinderholt family is very active in their community. They have served alongside a variety of organizations including Spirit of Hope Arlington, Catholic Charities of Fort Worth, Juvenile Diabetes Research Foundation, St. Jude Medical Center, and the Arlington Police Foundation.Tony is Lutheran, and his family attends St. Vincent De Paul Catholic Church in Southwest Arlington.",https://house.texas.gov/members/member-page/?district=94,https://house.texas.gov/members/3065/biography,https://house.texas.gov/images/members/3065.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3065,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3065,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3065,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3065
95,Nicole Collier,"Room 3S.2, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0716,"101 S. Jennings Suite 103A, Fort Worth, Texas, 76104",(817) 332-1180,https://house.texas.gov/members/2360/email,"Nicole Collier is a respected attorney, small business owner, grandmother and mother of three who has spent her life working to obtain the American Dream. As a single mother of two children before finishing high school, she was bolstered by both her faith and her family to continue her education. Nicole is a graduate of the University of Houston and Texas Wesleyan University School of Law, now the Texas A&M University School of Law. For the last 20 years, Nicole has been a strong advocate for individuals and families, and has now taken her skills to the Texas Capitol.Nicole is the first woman to represent Tarrant County’s House District 95, and in November 2022, she was re-elected to her sixth term in office.In the prior session, Nicole served as chair of the House Committee on Criminal Jurisprudence, which made her the first woman in Texas history to chair the committee since it was formed in 1879. Nicole has also served as chair of the Texas Legislative Black Caucus. In the 88th Texas Legislature, she was chosen to serve as Second Vice Chair to the House Democratic Caucus. Additionally, Nicole was re-appointed to serve on the House Committee on Public Health and newly appointed to the House Committee on Culture, Recreation & Tourism.Nicole draws her legislative priorities from input from the community. She has filed legislation that focuses on affordable housing, renters’ rights, access to quality healthcare, and criminal justice reform. Her outstanding legislative achievements have garnered numerous awards, including, more recently, the Roy Wilkins Civil Rights Award from the NAACP, and the Regional Legislator of the Year Award from The National Black Caucus of State Legislators.",https://house.texas.gov/members/member-page/?district=95,https://house.texas.gov/members/2360/biography,https://house.texas.gov/images/members/2360.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2360,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2360,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2360,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2360
96,David Cook,"Room E1.402, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0374,"309 E. Broad Street, Mansfield, TX 76063",(817) 473-1960,https://house.texas.gov/members/3960/email,"First sworn-in to the Texas House of Representatives in 2021, State Representative David Cook is currently serving his third term representing Texas House District 96, which encompasses the cities of Arlington, Burleson, Crowley, Fort Worth, Kennedale, Mansfield, and Rendon in Tarrant County.Representative Cook was appointed by Speaker Dustin Burrows to serve as a member of the House Committee on Delivery of Government Efficiency (DOGE) and the House Committee on Criminal Jurisprudence, serving as Chair of the House Standing Subcommittee on Juvenile Justice for the 89th Session of the Texas Legislature.Representative Cook is a member of several key caucuses, including the Texas House Republican Caucus, Innovation & Technology, Criminal Justice Reform, Texas State Technical College, Manufacturing, and Sportsmen Caucuses. In recognition of his leadership, Speaker Dade Phelan nominated Representative Cook as a 2023 GOPAC “Emerging Leader.” Representative Cook is also a member of the National Association of Christian Lawmakers, and has previously held the role of State Chair of the NACL.As a graduate of Stephen F. Austin State University and Texas A&M University School of Law (previously, Texas Wesleyan University School of Law), Representative Cook brings extensive legal expertise to the Legislature as Managing Partner of Harris Cook L.L.P., a firm he co-founded with the late State Senator Chris Harris. Representative Cook is Board Certified in Family Law by the Texas Board of Legal Specialization.Representative Cook possesses a lifelong dedication to public service, having previously served as Mayor of the City of Mansfield from 2008 to 2021. His accolades include the Mansfield News Mirror’s “Best Local Government Official” Award, the Fort Worth Business Press’ “40 Under 40” Award, and the Fort Worth Texas Magazine’s “Top Attorney” Award.He and his wife Tonya remain active in serving their local community through non-profits such as Mansfield Cares, Mansfield Mission Center, and Mansfield Feed the Kids Summer Program, community organizations such as the Mansfield Area Chamber of Commerce and Mansfield Historical Society, and community events such as the Mansfield Veterans’ Day Parade & Salute and the World’s Only St. Paddy’s Pickle Parade. Rep. Cook also currently serves on the Advisory Council for the Arlington Mansfield Area Salvation Army.Representative and Mrs. Cook are members of Creekwood Church in Mansfield. He was also instrumental in establishing Mansfield Churches FOR the City, which is a group of pastors and churches dedicated to the glorification of God through service to the City of Mansfield. They have four adult children, one daughter-in-law, two sons-in-law, and six grandchildren with one more on the way.
First sworn-in to the Texas House of Representatives in 2021, State Representative David Cook is currently serving his third term representing Texas House District 96, which encompasses the cities of Arlington, Burleson, Crowley, Fort Worth, Kennedale, Mansfield, and Rendon in Tarrant County.
Representative Cook was appointed by Speaker Dustin Burrows to serve as a member of the House Committee on Delivery of Government Efficiency (DOGE) and the House Committee on Criminal Jurisprudence, serving as Chair of the House Standing Subcommittee on Juvenile Justice for the 89th Session of the Texas Legislature.
Representative Cook is a member of several key caucuses, including the Texas House Republican Caucus, Innovation & Technology, Criminal Justice Reform, Texas State Technical College, Manufacturing, and Sportsmen Caucuses. In recognition of his leadership, Speaker Dade Phelan nominated Representative Cook as a 2023 GOPAC “Emerging Leader.” Representative Cook is also a member of the National Association of Christian Lawmakers, and has previously held the role of State Chair of the NACL.
As a graduate of Stephen F. Austin State University and Texas A&M University School of Law (previously, Texas Wesleyan University School of Law), Representative Cook brings extensive legal expertise to the Legislature as Managing Partner of Harris Cook L.L.P., a firm he co-founded with the late State Senator Chris Harris. Representative Cook is Board Certified in Family Law by the Texas Board of Legal Specialization.
Representative Cook possesses a lifelong dedication to public service, having previously served as Mayor of the City of Mansfield from 2008 to 2021. His accolades include the Mansfield News Mirror’s “Best Local Government Official” Award, the Fort Worth Business Press’ “40 Under 40” Award, and the Fort Worth Texas Magazine’s “Top Attorney” Award.
He and his wife Tonya remain active in serving their local community through non-profits such as Mansfield Cares, Mansfield Mission Center, and Mansfield Feed the Kids Summer Program, community organizations such as the Mansfield Area Chamber of Commerce and Mansfield Historical Society, and community events such as the Mansfield Veterans’ Day Parade & Salute and the World’s Only St. Paddy’s Pickle Parade. Rep. Cook also currently serves on the Advisory Council for the Arlington Mansfield Area Salvation Army.
Representative and Mrs. Cook are members of Creekwood Church in Mansfield. He was also instrumental in establishing Mansfield Churches FOR the City, which is a group of pastors and churches dedicated to the glorification of God through service to the City of Mansfield. They have four adult children, one daughter-in-law, two sons-in-law, and six grandchildren with one more on the way.",https://house.texas.gov/members/member-page/?district=96,https://house.texas.gov/members/3960/biography,https://house.texas.gov/images/members/3960.jpg?v=1,,,,
97,John McQueeney,"Room E2.720, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0608,,,https://house.texas.gov/members/4665/email,,https://house.texas.gov/members/member-page/?district=97,https://house.texas.gov/members/4665/biography,https://house.texas.gov/images/members/4665.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4665,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4665,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4665,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4665
98,Giovanni Capriglione,"Room E1.506, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0690,"1100 Bear Creek Parkway, Keller, Texas 76248",(817) 431-5339,https://house.texas.gov/members/2345/email,"Giovanni has been married to his wife, Elisa, for 24 years and has three children. After receiving his BS in Physics, he pursued his MBA in Finance from Santa Clara University. After school, Giovanni went on to work for a DFW-based venture capital/private equity firm.Giovanni is now the owner and president of his own small business, Texas Adventure Capital LLC, which provides business services to various investment fund managers and business owners. His focus is investing in Texas-based small businesses. Previously, Giovanni held various positions at computer engineering companies specializing in semiconductor design and Internet products and was senior vice president at an investment firm where he managed the loan and equity assets of various American businesses.Giovanni was elected to the Texas House of Representatives in 2012 and is serving his seventh term representing District 98 which encompasses all or part of Grapevine, Colleyville, Southlake, Keller, Westlake, and Euless.  He currently serves as Chairman of the House Delivery of Government Efficiency Committee and the Innovation and Technology Caucus.  He is also a member of the Committee on Ways & Means and the Permanent Standing Subcommittee on Property Tax Appraisals.",https://house.texas.gov/members/member-page/?district=98,https://house.texas.gov/members/2345/biography,https://house.texas.gov/images/members/2345.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2345,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2345,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2345,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2345
99,Charlie Geren,,,,,,"Charlie Geren was elected to the Texas House of Representatives in November 2000. Currently, Geren serves as Chairman of the Local and Consent Calendars Committee, and he is also a member of the Licensing and Administrative Procedures and Energy Resources Committees.Following the 82nd Legislative Session, Geren was named by Texas Monthly magazine as one of the ""Top 10 Texas Legislators,"" an honor he was also bestowed in 2005. Geren was one of only a handful of members honored with the Champion for Free Enterprise award by the Texas Association of Business. His work on behalf of Texas business has also earned him the Guardian of Small Business and Most Valuable Player awards from the National Federation of Independent Business/Texas, as well as entry into the Texas Realtors Association's Hall of Fame. Geren has been named a Texas Classroom Teachers Association Legislative Star. The Texas Farm Bureau has named Geren a Star for Rural Texas in acknowledgment of his work on property rights and water resource issues, and recently made him the inaugural recipient of their True Agricultural Champion Award. He has been awarded the Directors Award from Texas Parks & Wildlife's Law Enforcement Division.Prior to his service in the Texas House of Representatives, Geren took an active role in local and statewide water policy and planning. He served on the Texas Water Development Board from 1994 to 2000 and was Chairman of the Texas Resource Finance Authority for five of those years. Additionally, he was an elected member of the Tarrant Regional Water District Board of Directors, serving from 1990 to 1994. Geren also serves the State Preservation Board.Geren is an active community leader and has served on the boards of the Ronald McDonald House, Fort Worth Zoo, Lena Pope Home, and Junior Achievement. He is a trustee of Texas Christian University and is Vice President of the Southwestern Exposition & Livestock Show. From 1981 to 1990 he was a Deputy to the United States Marshals Service. He was also a principal and founding partner of the commercial real estate firm of Kelly, Geren, & Searcy.Geren is a proud grandparent who lives and ranches in the Fort Worth area. He is president of Railhead Smokehouse as well as the LGS Godley Ranch.",https://house.texas.gov/members/member-page/?district=99,https://house.texas.gov/members/2945/biography,https://house.texas.gov/images/members/2945.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2945,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2945,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2945,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2945
100,Venton Jones,"Room E2.208, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0586,"3535 Grand Avenue, Dallas, Texas 75210",(214) 421-0744,https://house.texas.gov/members/4275/email,"State Representative Venton Jones is currently serving his second term in the Texas House of Representatives. Elected in 2022, he represents the district where he was born and raised. House District 100 is located in the heart of Dallas County, and includes South Dallas, West Dallas, East Dallas, Victory Park, and Oak Cliff.Representative Jones was appointed by the Speaker of the Texas House to serve as Vice Chair of the House Committee on Corrections and on the coveted Appropriations Committee, serving on the Article II Subcommittee that appropriates funding for the state’s Health and Human Services. In addition to his committee appointments, he serves in multiple leadership positions, including Whip of the Texas House Democratic Caucus, Vice Chair of the Texas House LGBTQ Caucus, Parliamentarian of the Texas Legislative Black Caucus, Legislative Chairman of the Aggie Caucus, and Chair of the Dallas County Delegation. He is also an active member of the Texas Energy & Climate Caucus and the Legislative Study Group. In his inaugural term during the 88th Legislative Session, his leadership was honored by his colleagues, who named him “Freshman of the Year” of the Texas House LGBTQ Caucus.Professionally, Representative Jones is a non-profit CEO, Texas Realtor, and a committed servant leader with a long history of service to his own community and to others. He is the Founder & CEO of the Southern Black Policy and Advocacy Network (SBPAN), where he leads the organization’s mission to advance the health, social, and economic well-being of Black communities in the Southern United States. Since the inception of his career, Representative Jones has been a tireless advocate for marginalized communities and working-class families, with over 20 years of experience championing improved healthcare access and affordability, affordable housing, economic development, voting rights, and a better life for all.Representative Jones earned his Bachelor of Science in Community Health from Texas A&M University, his Master of Science in Health Care Administration from The University of Texas at Arlington, and holds a global certification as a Project Management Professional (PMP).In his free time, Representative Jones enjoys karaoke, do-it-yourself home improvement projects, gardening, and spending time with family and friends. He is a life member of Alpha Phi Alpha Fraternity, Incorporated, as well as the NAACP.Additional Recognitions:The Bishop Omar Jahwar Foundation “Eddie Bernice Johnson Congressional Ambassador Award,” 2024Dallas County Young Democrats “Elected Official of the Year,” 2024The Normal Anomaly Initiative “Marque Award for Amplified Innovation, 2024AIDS Walk South Dallas ""Champion Ambassador Award,” 2024Texas House LGBTQ Caucus “Freshman of the Year,” 2023Dallas Black Chamber of Commerce “A. Maceo Smith Trailblazer Award,” 2023Dallas Voice LGBTQ+ “North Texan of the Year,” 2023Dallas NAACP “Public Service Award,” 2023North Texas LGBTQ Chamber of Commerce “Legislative Equality Champion,” 2023The City of Dallas “Kirk D. Myers-Hill Pride in Excellence,” 2023Funky East Dallas Democrats “Rising Star Award,” 2023Stonewall Democrats of Dallas “Hon. Harryette Ehrhardt Distinguished Democrat Award,” 2023Raise Your Hand Texas “Public Education Champion,” 2023Texas Medical Association “Champion of Medicine Award” 2023House Committee on Public Health, 88th Legislature
State Representative Venton Jones is currently serving his second term in the Texas House of Representatives. Elected in 2022, he represents the district where he was born and raised. House District 100 is located in the heart of Dallas County, and includes South Dallas, West Dallas, East Dallas, Victory Park, and Oak Cliff.
Representative Jones was appointed by the Speaker of the Texas House to serve as Vice Chair of the House Committee on Corrections and on the coveted Appropriations Committee, serving on the Article II Subcommittee that appropriates funding for the state’s Health and Human Services. In addition to his committee appointments, he serves in multiple leadership positions, including Whip of the Texas House Democratic Caucus, Vice Chair of the Texas House LGBTQ Caucus, Parliamentarian of the Texas Legislative Black Caucus, Legislative Chairman of the Aggie Caucus, and Chair of the Dallas County Delegation. He is also an active member of the Texas Energy & Climate Caucus and the Legislative Study Group. In his inaugural term during the 88th Legislative Session, his leadership was honored by his colleagues, who named him “Freshman of the Year” of the Texas House LGBTQ Caucus.
Professionally, Representative Jones is a non-profit CEO, Texas Realtor, and a committed servant leader with a long history of service to his own community and to others. He is the Founder & CEO of the Southern Black Policy and Advocacy Network (SBPAN), where he leads the organization’s mission to advance the health, social, and economic well-being of Black communities in the Southern United States. Since the inception of his career, Representative Jones has been a tireless advocate for marginalized communities and working-class families, with over 20 years of experience championing improved healthcare access and affordability, affordable housing, economic development, voting rights, and a better life for all.
Representative Jones earned his Bachelor of Science in Community Health from Texas A&M University, his Master of Science in Health Care Administration from The University of Texas at Arlington, and holds a global certification as a Project Management Professional (PMP).
In his free time, Representative Jones enjoys karaoke, do-it-yourself home improvement projects, gardening, and spending time with family and friends. He is a life member of Alpha Phi Alpha Fraternity, Incorporated, as well as the NAACP.
Additional Recognitions:",https://house.texas.gov/members/member-page/?district=100,https://house.texas.gov/members/4275/biography,https://house.texas.gov/images/members/4275.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4275,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4275,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4275,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4275
101,Chris Turner,"Room 1N.5, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0574,"320 Westway Place, Suite 501, Arlington, TX 76018",(817) 459-2800,https://house.texas.gov/members/4680/email,"State Representative Chris Turner has served Tarrant County in the Texas Legislature for six terms, representing parts of Arlington and Grand Prairie.
As a state representative, Chris has worked to increase opportunity for all Texans. Chris created the Veterans Cash scratch-off ticket that has raised more than $150 million to aid Texas veterans. He also authored the constitutional amendment to create a 100% property tax exemption for surviving spouses of servicemembers killed in the line of duty. He played a pivotal role in the passage of payday lending ordinances in both Arlington and Grand Prairie and has authored laws that safeguard consumers from unexpected utility rate hikes and tenants from unscrupulous landlords.
In 2019, Chris brokered the deal to end the stalemate on Texas' major school finance legislation by crafting a statewide teacher pay raise plan that was ultimately supported by both the House and Senate. As chair of the House Committee on Higher Education during the 86th Legislature, Chris was instrumental in passing several transformative higher education policies, including sponsoring SB 25, which improves the transferability of college credits among institutions of higher education.
In February 2021, Chris was appointed to serve as Chairman of the House Committee on Business & Industry. Chris also serves on the House Committee on Redistricting and the House Committee on Higher Education.
Chris served as Chair of the House Democratic Caucus from 2017-2022, where he lead members with a comprehensive strategic approach to advance better public policy.
A lifelong Texan, Chris grew up in Dallas and has lived in Tarrant County for more than 20 years. Chris is a graduate of the University of Texas at Austin and works as a communications consultant when he is not working in the Legislature. Chris and his wife, Lisa, live in Grand Prairie with their rescue dogs, Cassie, Cora and Cleo.",https://house.texas.gov/members/member-page/?district=101,https://house.texas.gov/members/3895/biography,https://house.texas.gov/images/members/3895.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4680,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4680,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4680,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4680
102,Ana-María Rodríguez Ramos,"Room E2.204, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0454,,,https://house.texas.gov/members/3735/email,"Ana-Maria Ramos is the current House District 102 State Representative and was elected into office in November of 2018. She successfully flipped a Republican-held seat and won with 52.9% of constituent votes. She was re-elected in November of 2020, winning 53.9% of constituent votes against her Republican challenger. Since assuming office, Representative Ramos has been a fierce advocate for voting, LGBTQIA+, immigrant, and women’s rights. She has fought back against gerrymandering and promotes civic engagement in her community. Representative Ramos has sat on the Defense & Veterans' Affairs, Natural Resources, and Juvenile Justice & Family Issues Committees during her time in office.A Dallas native, she is a wife, mother of two, and daughter of immigrants. After having her first child at the age of fifteen and dropping out of school, she learned how to advocate for herself early on in life. Against all odds, Ana-Maria returned to school and obtained her GED from Dallas Can Academy. She continued her educational career by enrolling at Eastfield Community College where she received an Associate's degree. One step closer to having a Bachelor's degree, Ana-Maria enrolled at the University of Texas- Arlington and studied Communications.After fostering a love for education through obtaining her BA, Ana-Maria enrolled at the Texas Women's University in 2005 and received a Master’s degree in Business Administration. Shortly after, she enrolled at Southern Methodist University and worked towards getting a Juris Doctorate in hopes of using her law degree to positively impact her community. She currently owns Ramos Law PLLC based in Dallas, Texas and is a practicing Attorney at Law.For the last twenty years, Ana-Maria has worked closely with members of her community on revitalization projects and public health/safety programs. She has obtained grants to help local underprivileged individuals with home improvements and crime reduction measures. Additionally, she has helped increase access to higher education in her community by heading the development of a new campus of El Centro Community College where she acted as the firstExecutive Director.Representative Ramos is committed to protecting marginalized groups and working class families by staying true to progressive values. She is passionate about improving the lives of ALL Texans by investing in public education, providing access to affordable healthcare, and advocating for property tax reform. She remains focused on passing sensible gun legislation aimed at reducing violence, fighting for women’s rights, and protecting voting rights.",https://house.texas.gov/members/member-page/?district=102,https://house.texas.gov/members/3735/biography,https://house.texas.gov/images/members/3735.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3735,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3735,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3735,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3735
103,Rafael Anchía,"Room 1W.5, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0746,"1111 West Mockingbird Lane, Suite 1010, Dallas, TX 75247",(214) 943-6081,https://house.texas.gov/members/2150/email,"State Representative Rafael Anchía is currently serving his tenth term in the Texas Legislature and represents a western corridor of Dallas County, which includes the cities of Dallas, Carrollton, Farmers Branch, and Irving. Rep. Anchía is currently Chairman of the House Subcommittee on Telecommunications and Broadband, and serves on the House Committees on State Affairs and Environmental Regulation.Prior to serving in the Texas House, Rep. Anchía was twice elected to serve as a Trustee for the Dallas Independent School District. From 2011-2015, he served in President Barack Obama's administration as an appointee to the Advisory Committee for Trade Policy and Negotiations, which advises the White House and U.S. Trade Representative on trade and investment agreements. Rep. Anchía served as Chairman of the Mexican American Legislative Caucus (MALC), the oldest and largest Latino caucus in the United States, from 2017-2022. Rep. Anchía graduated cum laude from Southern Methodist University (SMU); he continued his studies at Tulane Law School, where he served as Senior Fellow and received his juris doctor. He has dedicated his public service to fighting for civil rights, public education, protecting the environment, and improving access to healthcare for women and children. Rep. Anchía is a co-founder and Managing Director in the global investment firm, Civitas Capital Group; he also serves as Of Counsel at the largest law firm in Dallas, Haynes and Boone, where he represents financial institutions and public and private funds. Most importantly, he lives in beautiful North Oak Cliff with his wife Rebecca, is blessed with two exceptional daughters, and worships with the Catholic Campus Community at SMU.Additional Professional Recognitions:• Delivered Tulane Law School Commencement Address, 2023• Legislator of the Year Award from the State Bar of Texas, 2021• The Distinguished Hispanic Alumni Award by Southern Methodist University, 2019• Recognized as Outstanding Latino Advocate by D CEO Magazine, 2018• Named as ""Bull of the Brazos"" by Texas Monthly, 2017• Appointed Vice-Chair of the National Conference of State Legislatures’ Labor and Economic Development Committee, 2016• Recognized as Legislative Hero by Texas Freedom Network, 2016• Dallas Hispanic Bar Association's ""La Luz"" Award, highest award given by the Association, 2015• Appointed Chair of Dallas Charter Review Commission by Dallas Mayor Mike Rawlings, 2014• The Martin Luther King, Jr. Justice Award from the Dallas Bar Association, 2014• ""Outstanding Legislator"" by Association of Texas Professional Educators, 2014• Cahn Fellowship, Harvard Kennedy School, 2014• Appointed to the Democratic National Committee as at-large member, 2013• Appointed to the Border Legislative Conference by Speaker Joe Straus, 2013• Recognized by Hispanic Business Magazine as one of the 50 most influential Hispanics in the United States, 2012• ""Ohtli"" Award, the highest award given by the government of Mexico to acknowledge the contributions the recipients have made to help empower Mexican and Mexican American communities in the United States, 2011• The Gregg Cooke Award for Excellence in Environmental Leadership at the annual Clean Air Through Energy Efficiency Conference, 2011• The Latino Leaders Maestro Award for Leadership, 2010• Appointed to four-year term on Sunset Commission by Speaker Joe Straus, 2009• American Jewish Committee's Institute of Human Relations Award, 2009• Texas Lawyer's “Extraordinary Minority in Texas Law,” 2009• Mexican American Legal Defense and Education Fund's Matt Garcia Public Service Award, 2009• Named one of Texas Monthly's Ten Best Legislators, 2007• Aspen Institute Rodel Fellow, 2007• Chosen Chairman of the Board of the National Association of Latino Elected and Appointed Officials Educational Fund for a three-year term, 2006• Fleming Institute Fellow, 2006• Texas Monthly's ""Rookie of the Year,"" 2005• LULAC National ""Man of the Year,"" 2005• British American Project Delegate, 2003• Broad Foundation Fellow, 2003• American Marshall Memorial Fellow, 2001",https://house.texas.gov/members/member-page/?district=103,https://house.texas.gov/members/2150/biography,https://house.texas.gov/images/members/2150.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2150,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2150,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2150,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2150
104,Jessica González,"Room E2.808, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0408,"400 South Zang Blvd., Suite 1214, Dallas, Texas 75208",(214) 944-5441,https://house.texas.gov/members/3335/email,"Jessica González is proudly serving her fourth term as State Representative for House District 104.Throughout her tenure in the Texas House of Representatives, Rep. González has used her platform and influence to champion working families and their contributions to Texas, defend the rights of the marginalized, and hold the powerful accountable. She has dedicated her energy to enhancing voting rights, protecting the civil rights of LGBTQ+ Texans, reforming our criminal justice system, and increasing access to affordable housing.González grew up in Dallas and was raised in a large family by her parents, who built their own small business. Throughout her life, Jessica has remained inspired by her family’s courage and determination; she attributes her ambition, strong work ethic, and values to her parents.Jessica earned her Bachelor of Arts in Criminology and Criminal Justice from The University of Texas at Arlington. She later attended Western Michigan University-Cooley School of Law, where she held top student leadership positions, clerked at the Voting Rights Section of the Civil Rights Division for the U.S. Department of Justice, and graduated at the top of her class.After graduating from law school, Jessica moved to Washington, D.C., where she gained valuable insight into the federal government as a Congressional Hispanic Caucus Fellow, a Legislative Assistant for a Democratic U.S. Representative, and a White House intern. Her policy portfolio was extensive, but she was most focused on immigration and election policy. Jessica’s commitment to protecting the rights of voters led to her serving as Nevada Voter Protection Director on President Obama’s re-election campaign in 2012.Representative González uses her diverse educational, professional, and policy experiences to fight for the residents of House District 104 and all Texans. In 2024, she was honored with the Profile in Courage Award from Equality Texas, the state’s largest pro-equality advocacy organization. During the 87th Legislative Session, she was recognized as Texas Monthly’s “Bull of the Brazos”, received the Matt Garcia Public Service Award from the Mexican American Legal Defense and Educational Fund (MALDEF), and in 2022 was named one of USA Today’s Women of the Year.Representative González serves as Chair of the Texas House LGBTQ Caucus.Professionally, Jessica has been a licensed, practicing attorney in Texas for over ten years. She married her wife, Angela, in 2021 and has one dog, Mona, a Chihuahua puppy. With her limited spare time, Jessica enjoys spending time with her family, playing Nintendo games, and assembling LEGO sets.",https://house.texas.gov/members/member-page/?district=104,https://house.texas.gov/members/3335/biography,https://house.texas.gov/images/members/3335.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3335,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3335,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3335,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3335
